districtid,timeid,cases
GJ_Bharuch,7,519
GJ_Bharuch,8,494
GJ_Bharuch,9,413
GJ_Bharuch,10,134
GJ_Bharuch,11,178
GJ_Bharuch,12,847
GJ_Bharuch,13,4352
GJ_Bharuch,14,1803
GJ_Bharuch,15,86
GJ_Bharuch,16,12
GJ_Bhavnagar,1,103
GJ_Bhavnagar,2,66
GJ_Bhavnagar,3,518
GJ_Bhavnagar,4,1334
GJ_Bhavnagar,5,1484
GJ_Bhavnagar,6,1009
GJ_Bhavnagar,7,419
GJ_Bhavnagar,8,590
GJ_Bhavnagar,9,426
GJ_Bhavnagar,10,137
GJ_Bhavnagar,11,258
GJ_Bhavnagar,12,1851
GJ_Bhavnagar,13,10909
GJ_Bhavnagar,14,2259
GJ_Bhavnagar,15,41
GJ_Bhavnagar,16,9
GJ_Botad,1,56
GJ_Botad,2,10
GJ_Botad,3,59
GJ_Botad,4,252
GJ_Botad,5,240
GJ_Botad,6,178
GJ_Botad,7,73
GJ_Botad,8,118
GJ_Botad,9,57
GJ_Botad,10,5
GJ_Botad,11,16
GJ_Botad,12,200
GJ_Botad,13,837
GJ_Botad,14,114
GJ_Botad,15,3
GJ_Botad,16,0
GJ_Chhota Udaipur,1,21
GJ_Chhota Udaipur,2,19
GJ_Chhota Udaipur,3,45
GJ_Chhota Udaipur,4,126
GJ_Chhota Udaipur,5,206
GJ_Chhota Udaipur,6,147
GJ_Chhota Udaipur,7,135
GJ_Chhota Udaipur,8,133
GJ_Chhota Udaipur,9,68
GJ_Chhota Udaipur,10,22
GJ_Chhota Udaipur,11,63
GJ_Chhota Udaipur,12,246
GJ_Chhota Udaipur,13,1834
GJ_Chhota Udaipur,14,328
GJ_Chhota Udaipur,15,2
GJ_Chhota Udaipur,16,0
GJ_Dahod,1,20
GJ_Dahod,2,28
GJ_Dahod,3,123
GJ_Dahod,4,696
GJ_Dahod,5,582
GJ_Dahod,6,323
GJ_Dahod,7,301
GJ_Dahod,8,600
GJ_Dahod,9,520
GJ_Dahod,10,132
GJ_Dahod,11,93
GJ_Dahod,12,801
GJ_Dahod,13,4642
GJ_Dahod,14,1052
GJ_Dahod,15,9
GJ_Dahod,16,22
GJ_Dang,1,2
GJ_Dang,2,2
GJ_Dang,3,3
GJ_Dang,4,23
GJ_Dang,5,49
GJ_Dang,6,36
GJ_Dang,7,7
GJ_Dang,8,22
GJ_Dang,9,30
GJ_Dang,10,9
GJ_Dang,11,8
GJ_Dang,12,127
GJ_Dang,13,457
GJ_Dang,14,85
GJ_Dang,15,1
GJ_Dang,16,3
GJ_Gandhinagar,1,146
GJ_Gandhinagar,2,321
GJ_Gandhinagar,3,477
GJ_Gandhinagar,4,950
GJ_Gandhinagar,5,1073
GJ_Gandhinagar,6,1289
GJ_Gandhinagar,7,1286
GJ_Gandhinagar,8,1960
GJ_Gandhinagar,9,861
GJ_Gandhinagar,10,304
GJ_Gandhinagar,11,315
GJ_Gandhinagar,12,1737
GJ_Gandhinagar,13,8185
GJ_Gandhinagar,14,1750
GJ_Gandhinagar,15,68
GJ_Gandhinagar,16,19
GJ_Gir Somnath,1,22
GJ_Gir Somnath,2,28
GJ_Gir Somnath,3,89
GJ_Gir Somnath,4,546
GJ_Gir Somnath,5,494
GJ_Gir Somnath,6,423
GJ_Gir Somnath,7,325
GJ_Gir Somnath,8,277
GJ_Gir Somnath,9,209
GJ_Gir Somnath,10,136
GJ_Gir Somnath,11,122
GJ_Gir Somnath,12,298
GJ_Gir Somnath,13,3746
GJ_Gir Somnath,14,1685
GJ_Gir Somnath,15,136
GJ_Gir Somnath,16,21
GJ_Jamnagar,1,33
GJ_Jamnagar,2,43
GJ_Jamnagar,3,304
GJ_Jamnagar,4,944
GJ_Jamnagar,5,2964
GJ_Jamnagar,6,3090
GJ_Jamnagar,7,1288
GJ_Jamnagar,8,1147
GJ_Jamnagar,9,540
GJ_Jamnagar,10,203
GJ_Jamnagar,11,258
GJ_Jamnagar,12,3230
GJ_Jamnagar,13,17480
GJ_Jamnagar,14,3290
GJ_Jamnagar,15,107
GJ_Jamnagar,16,30
GJ_Kheda,1,33
GJ_Kheda,2,83
GJ_Kheda,3,227
GJ_Kheda,4,447
GJ_Kheda,5,314
GJ_Kheda,6,310
GJ_Kheda,7,349
GJ_Kheda,8,850
GJ_Kheda,9,495
GJ_Kheda,10,127
GJ_Kheda,11,239
GJ_Kheda,12,903
GJ_Kheda,13,4263
GJ_Kheda,14,1721
GJ_Kheda,15,53
GJ_Kheda,16,8
GJ_Kutch,1,14
GJ_Kutch,2,78
GJ_Kutch,3,167
GJ_Kutch,4,594
GJ_Kutch,5,780
GJ_Kutch,6,817
GJ_Kutch,7,483
GJ_Kutch,8,654
GJ_Kutch,9,679
GJ_Kutch,10,219
GJ_Kutch,11,248
GJ_Kutch,12,850
GJ_Kutch,13,5158
GJ_Kutch,14,1764
GJ_Kutch,15,77
GJ_Kutch,16,5
GJ_Mahisagar,1,47
GJ_Mahisagar,2,73
GJ_Mahisagar,3,66
GJ_Mahisagar,4,276
GJ_Mahisagar,5,285
GJ_Mahisagar,6,386
GJ_Mahisagar,7,205
GJ_Mahisagar,8,471
GJ_Mahisagar,9,176
GJ_Mahisagar,10,59
GJ_Mahisagar,11,125
GJ_Mahisagar,12,740
GJ_Mahisagar,13,4088
GJ_Mahisagar,14,1182
GJ_Mahisagar,15,12
GJ_Mahisagar,16,1
GJ_Mehsana,1,73
GJ_Mehsana,2,112
GJ_Mehsana,3,287
GJ_Mehsana,4,778
GJ_Mehsana,5,708
GJ_Mehsana,6,1341
GJ_Mehsana,7,1299
GJ_Mehsana,8,1600
GJ_Mehsana,9,670
GJ_Mehsana,10,131
GJ_Mehsana,11,196
GJ_Mehsana,12,1648
GJ_Mehsana,13,13776
GJ_Mehsana,14,1748
GJ_Mehsana,15,40
GJ_Mehsana,16,7
GJ_Morbi,1,2
GJ_Morbi,2,4
GJ_Morbi,3,94
GJ_Morbi,4,422
GJ_Morbi,5,753
GJ_Morbi,6,641
GJ_Morbi,7,443
GJ_Morbi,8,550
GJ_Morbi,9,268
GJ_Morbi,10,126
GJ_Morbi,11,101
GJ_Morbi,12,749
GJ_Morbi,13,2058
GJ_Morbi,14,278
GJ_Morbi,15,10
GJ_Morbi,16,3
GJ_Narmada,1,13
