Node1,Node2
JH_latehar,UP_balrampur
JH_lohardaga,JH_ranchi
JH_pakur,JH_sahibganj
JH_pakur,WB_birbhum
JH_pakur,WB_murshidabad
JH_palamu,MH_aurangabad
JH_ramgarh,JH_ranchi
JH_ramgarh,WB_purulia
JH_ranchi,JH_saraikela-kharsawan
JH_ranchi,WB_purulia
JH_sahibganj,WB_malda
JH_sahibganj,WB_murshidabad
JH_saraikela-kharsawan,JH_west singhbhum
JH_saraikela-kharsawan,OR_mayurbhanj
JH_saraikela-kharsawan,WB_purulia
JH_simdega,JH_west singhbhum
JH_simdega,OR_sundargarh
JH_west singhbhum,OR_kendujhar
JH_west singhbhum,OR_mayurbhanj
JH_west singhbhum,OR_sundargarh
JK_anantnag,JK_doda
JK_anantnag,JK_ganderbal
JK_anantnag,JK_kishtwar
JK_anantnag,JK_kulgam
JK_anantnag,JK_pulwama
JK_anantnag,JK_ramban
JK_anantnag,JK_shopiyan
JK_anantnag,JK_srinagar
JK_anantnag,LA_kargil
JK_bandipora,JK_baramulla
JK_bandipora,JK_ganderbal
JK_bandipora,JK_kupwara
JK_bandipora,JK_srinagar
JK_bandipora,LA_kargil
JK_baramulla,JK_budgam
JK_baramulla,JK_kupwara
JK_baramulla,JK_punch
JK_baramulla,JK_srinagar
JK_budgam,JK_kulgam
JK_budgam,JK_pulwama
JK_budgam,JK_punch
JK_budgam,JK_shopiyan
JK_budgam,JK_srinagar
JK_doda,JK_kathua
JK_doda,JK_kishtwar
JK_doda,JK_ramban
JK_doda,JK_udhampur
JK_ganderbal,JK_srinagar
JK_ganderbal,LA_kargil
JK_jammu,JK_rajouri
JK_jammu,JK_reasi
JK_jammu,JK_samba
JK_jammu,JK_udhampur
JK_kathua,JK_samba
JK_kathua,JK_udhampur
JK_kathua,PB_pathankot
JK_kishtwar,LA_kargil
JK_kulgam,JK_punch
JK_kulgam,JK_rajouri
JK_kulgam,JK_ramban
JK_kulgam,JK_reasi
JK_kulgam,JK_shopiyan
JK_pulwama,JK_shopiyan
JK_pulwama,JK_srinagar
JK_punch,JK_rajouri
JK_punch,JK_reasi
JK_rajouri,JK_reasi
